BioSample,BioProject,Organism,sub_group,SRA_Study,era,era_guess,age,comments,DATASTORE_filetype,run_count
SAMEA4075254,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075255,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075256,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075257,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075258,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075259,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075260,PRJEB14779,Equus caballus,Haflinger,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075261,PRJEB14779,Equus caballus,Dutch Warmblood,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075262,PRJEB14779,Equus caballus,Quarter Horse,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075263,PRJEB14779,Equus caballus,Quarter Horse,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075264,PRJEB14779,Equus caballus,Quarter Horse,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075265,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075266,PRJEB14779,Equus caballus,Swiss Warmblood,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4351921,PRJEB14779,Equus caballus,German WarmBlood,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4351922,PRJEB14779,Equus caballus,German WarmBlood,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4351923,PRJEB14779,Equus caballus,German WarmBlood,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4351924,PRJEB14779,Equus caballus,German WarmBlood,ERP016448,modern,,,,'bam' 'sra',1
